upazila_code,type,param,area,percent,len
404712,hsz,E2,399579,16.82,0.5-5 days
404712,hsz,E1,1975469,83.18,less than 0.5 days
404740,pktp,P5,787419,100,50-60 days
404740,krgp,K4,787419,100,200-210/115-135 days
404740,cwz,T3,787419,100,50-70 days
404740,hsz,E2,770811,97.89,0.5-5 days
404740,hsz,E1,16608,2.11,less than 0.5 days
404717,pktp,P5,14006140,100,50-60 days
404717,krgp,K5,745066,5.32,210-220/120-140 days
404717,krgp,K4,13261074,94.68,200-210/115-135 days
404717,cwz,T3,14006140,100,50-70 days
404717,hsz,E2,2088294,14.91,0.5-5 days
404717,hsz,E1,11917846,85.09,less than 0.5 days
404730,pktp,P6,314432,6.85,60-70 days
404730,pktp,P5,4273955,93.15,50-60 days
404730,krgp,K4,4588387,100,200-210/115-135 days
404730,cwz,T3,4588387,100,50-70 days
404730,hsz,E2,4097045,89.29,0.5-5 days
404730,hsz,E1,491341,10.71,less than 0.5 days
404769,pktp,P5,775963,100,50-60 days
404769,krgp,K4,775963,100,200-210/115-135 days
404769,cwz,T3,775963,100,50-70 days
404769,hsz,E2,775963,100,0.5-5 days
404764,pktp,P6,100988,2.74,60-70 days
404764,pktp,P5,3586755,97.26,50-60 days
404764,krgp,K4,3687743,100,200-210/115-135 days
404764,cwz,T3,3687743,100,50-70 days
404764,hsz,E2,3687743,100,0.5-5 days
404753,pktp,P5,22550342,100,50-60 days
404753,krgp,K4,22550342,100,200-210/115-135 days
404753,cwz,T3,22550342,100,50-70 days
404753,hsz,E2,11261755,49.94,0.5-5 days
404753,hsz,E1,11288588,50.06,less than 0.5 days
404794,pktp,P5,1917621,100,50-60 days
404794,krgp,K5,708787,36.96,210-220/120-140 days
404794,krgp,K4,1208834,63.04,200-210/115-135 days
404794,cwz,T3,1917621,100,50-70 days
404794,hsz,E2,1525746,79.56,0.5-5 days
404794,hsz,E1,391875,20.44,less than 0.5 days
404775,pktp,P5,1201440,100,50-60 days
404775,krgp,K4,1201440,100,200-210/115-135 days
404775,cwz,T3,1201440,100,50-70 days
404775,hsz,E2,129356,10.77,0.5-5 days
404775,hsz,E1,1072085,89.23,less than 0.5 days
405015,pktp,P5,1496575,100,50-60 days
405015,krgp,K5,1322259,88.35,210-220/120-140 days
405015,krgp,K4,174316,11.65,200-210/115-135 days
405015,cwz,T4,1496575,100,70-90 days
405015,hsz,E2,1496575,100,0.5-5 days
405039,pktp,P5,4722533,100,50-60 days
405039,krgp,K5,1363078,28.86,210-220/120-140 days
