upazila_code,type,category,area,ord
104273,reaction,Moderately Acidic,2541.93,3
104273,reaction,Neutral,11281.9,4
104273,moisture,Low,593.78,1
104273,moisture,Medium,9525.35,2
104273,moisture,High,3704.7,3
104273,salinity,Non Saline,13823.83,1
104273,recession,Early,3704.7,2
104273,recession,Normal,9559.49,3
104273,recession,Late,559.64,4
104273,relief,Level,13823.83,
104284,landtype,High Land,171.03,
104284,landtype,Medium High Land-1,5614.35,
104284,landtype,Medium High Land-2,7057.1,
104284,landtype,Medium Low Land,126.21,
104284,texture,Loam,546.71,3
104284,texture,Clay Loam,4882.5,4
104284,texture,Clay,7539.48,5
104284,consistency,Friable,546.71,2
104284,consistency,Firm,12421.99,3
104284,drainage,Imperfectly Drained,171.03,3
104284,drainage,Poorly Drained,12797.67,4
104284,reaction,Strongly Acidic,4954.24,2
104284,reaction,Moderately Acidic,7729.88,3
104284,reaction,Neutral,284.58,4
104284,moisture,Low,7539.48,1
104284,moisture,Medium,4882.5,2
104284,moisture,High,546.71,3
104284,salinity,Non Saline,12410.12,1
104284,salinity,Very Slightly Saline,205.61,2
104284,salinity,Slightly Saline,352.97,3
104284,recession,Very Early,171.03,1
104284,recession,Early,637.07,2
104284,recession,Normal,10041.13,3
104284,recession,Late,2119.47,4
104284,relief,Level,12669.66,
104284,relief,Slightly Undulating,299.03,
107838,landtype,High Land,232.32,
107838,landtype,Medium High Land-1,6558.99,
107838,landtype,Medium High Land-2,28502.27,
107838,landtype,Medium Low Land,1842.11,
107838,texture,Loam,7459.62,3
107838,texture,Clay Loam,24893.55,4
107838,texture,Clay,4782.53,5
107838,consistency,Friable,7459.62,2
107838,consistency,Firm,29676.08,3
107838,drainage,Imperfectly Drained,232.32,3
107838,drainage,Poorly Drained,35061.26,4
107838,drainage,Very Poorly Drained,1842.11,5
107838,reaction,Strongly Acidic,27072.83,2
107838,reaction,Moderately Acidic,4272.14,3
107838,reaction,Neutral,5790.72,4
107838,moisture,Low,4782.53,1
107838,moisture,Medium,24893.55,2
107838,moisture,High,5617.51,3
107838,moisture,Very High,1842.11,4
107838,salinity,Non Saline,30977.75,1
107838,salinity,Very Slightly Saline,3674.63,2
107838,salinity,Slightly Saline,2483.31,3
107838,recession,Very Early,232.32,1
107838,recession,Early,7208.22,2
107838,recession,Normal,27555.88,3
107838,recession,Late,297.16,4
107838,recession,Very Late,1842.11,5
107838,relief,Level,35003,
107838,relief,Slightly Undulating,2132.69,
107866,landtype,Medium High Land-1,9358.99,
107866,landtype,Medium High Land-2,28136.53,
107866,texture,Sandy Loam ,428.35,2
107866,texture,Loam,1187.71,3
107866,texture,Clay Loam,18202.34,4
107866,texture,Clay,17677.12,5
107866,consistency,Friable,1616.06,2
107866,consistency,Firm,35879.46,3
107866,drainage,Poorly Drained,37495.52,4
107866,reaction,Strongly Acidic,33633.42,2
107866,reaction,Moderately Acidic,3862.1,3
107866,moisture,Low,17677.12,1
107866,moisture,Medium,18630.69,2
107866,moisture,High,1187.71,3
107866,salinity,Non Saline,899.98,1
107866,salinity,Slightly Saline,18202.34,3
107866,salinity,Moderately Saline,18393.2,4
107866,recession,Early,8764.59,2
107866,recession,Normal,28730.93,3
107866,relief,Level,37495.52,
107857,landtype,Medium High Land-1,6855.36,
107857,landtype,Medium High Land-2,21939.04,
107857,landtype,Medium Low Land,4213.04,
107857,texture,Loam,12271.51,3
107857,texture,Clay Loam,17032.21,4
107857,texture,Clay,3703.72,5
107857,consistency,Friable,12271.51,2
107857,consistency,Firm,20735.93,3
107857,drainage,Poorly Drained,33007.44,4
107857,reaction,Strongly Acidic,22798.97,2
107857,reaction,Moderately Acidic,4879.17,3
